,,,,,UKCP09,,,UKCP18,,,Difference,,
2020-2049,temp,dmean,jan,West Midlands,0.26225775,1.424536,2.7239666,-0.25658134,0.9044024,2.1278694,-0.51883909,-0.5201336,-0.5960972
2020-2049,temp,dmean,jan,Western Scotland,0.18164629,1.3205879,2.5741072,-0.15079756,0.9260887,2.0826027,-0.33244385,-0.3944992,-0.4915045
2020-2049,temp,dmean,jan,Yorkshire and Humberside,0.24605721,1.481413,2.850991,-0.01197666,1.0737331,2.2547584,-0.25803387,-0.4076799,-0.5962326
2020-2049,temp,dmin,jan,Channel Islands,0.43689898,1.650827,3.032758,-0.40455148,0.7586097,1.9556137,-0.84145046,-0.8922173,-1.0771443
2020-2049,temp,dmin,jan,East Midlands,0.37391123,1.6376915,3.0423865,-0.29756823,0.83645517,2.0001633,-0.67147946,-0.80123633,-1.0422232
2020-2049,temp,dmin,jan,East of England,0.42065442,1.6886815,3.146805,-0.07192032,0.9997013,2.137313,-0.49257474,-0.6889802,-1.009492
2020-2049,temp,dmin,jan,Eastern Scotland,-0.07936752,1.1997707,2.5513282,-0.3485814,0.9957616,2.3009934,-0.26921388,-0.2040091,-0.2503348
2020-2049,temp,dmin,jan,Isle of Man,0.23555575,1.3132974,2.5154939,-0.22516327,0.8337389,1.8938631,-0.46071902,-0.4795585,-0.6216308
2020-2049,temp,dmin,jan,London,0.4170715,1.7110753,3.1591558,-0.31530318,0.8399502,2.0444896,-0.73237468,-0.8711251,-1.1146662
2020-2049,temp,dmin,jan,North East England,0.23074976,1.4144015,2.7253017,-0.24824198,0.87964296,2.01798,-0.47899174,-0.53475854,-0.7073217
2020-2049,temp,dmin,jan,North West England,0.25456414,1.4219122,2.7249954,-0.27974093,0.8562124,2.012827,-0.53430507,-0.5656998,-0.7121684
2020-2049,temp,dmin,jan,Northern Ireland,0.067312665,1.2526517,2.5397148,-0.25968176,0.8202618,1.9163845,-0.326994425,-0.4323899,-0.6233303
2020-2049,temp,dmin,jan,Northern Scotland,-0.10445691,1.1630442,2.4763339,-0.33375037,1.0063925,2.295148,-0.22929346,-0.1566517,-0.1811859
